iter	Passed	Remaining
0	1	169
1	3	148
2	4	142
3	6	146
4	7	151
5	9	148
6	13	184
7	17	203
8	19	197
9	21	189
10	22	181
11	24	182
12	28	191
13	33	203
14	35	198
15	36	192
16	39	191
17	44	200
18	47	201
19	48	195
20	50	188
21	51	182
22	53	179
23	55	174
24	57	173
25	61	173
26	63	170
27	64	165
28	65	160
29	67	158
30	69	153
31	70	150
32	73	149
33	75	146
34	76	142
35	77	138
36	79	135
37	80	131
38	82	129
39	84	127
40	86	124
41	88	122
42	90	120
43	92	117
44	93	114
45	95	111
46	96	109
47	98	106
48	99	103
49	101	101
50	103	99
51	105	97
52	107	94
53	108	92
54	108	89
55	109	86
56	111	83
57	112	81
58	113	78
59	114	76
60	115	73
61	118	72
62	119	70
63	120	67
64	121	65
65	123	63
66	124	61
67	125	59
68	126	57
69	128	54
70	129	52
71	134	52
72	136	50
73	138	48
74	139	46
75	140	44
76	141	42
77	142	40
78	143	38
79	145	36
80	147	34
81	148	32
82	151	30
83	152	29
84	155	27
85	157	25
86	160	23
87	162	22
88	163	20
89	165	18
90	166	16
91	168	14
92	169	12
93	170	10
94	172	9
95	175	7
96	177	5
97	178	3
98	179	1
99	182	0
